,Lysobacter,Arthrobacter,Rhodococcus,Brevibacillus,Paenibacillus,Marmoricola,Bacillus,Burkholderia,Variovarax,Chitinophaga,Niastella,Mucilaginibacter,Rhizobium,Bosea,Methylobacterium
Lysobacter,,0.19438586877772218,0.27054280691315413,-0.08468604674980143,-0.3012534145251109,-0.07248061433497233,-0.8244202405143157,-0.8359143575512867,-0.4364749438383448,-0.6317643891619465,-0.2310365431020891,-0.3110355793526775,-0.38963164899706115,0.05749912113885433,-0.03417255144245898
Arthrobacter,0.001430026647195319,,-0.12237723884776658,-0.3553410510234328,-0.6457204734574501,,-0.7044770576242221,-0.1288188972085734,-0.124591085689257,-0.556111870125483,-0.1994077790146874,-0.23458827712278948,-0.5400637683714955,0.053858504313668176,-0.002358374817780048
Rhodococcus,-0.1867721613012527,-0.43534933686660077,,-0.4176548655915356,-0.2555217016815635,0.21723249478856013,-0.7181313868415272,-0.4267964560301171,-0.29073087906923745,-0.6286795817796346,-0.391625972905785,-0.49151885867148143,-0.4962848361822881,-0.028236923274825812,0.1518627075921165
Brevibacillus,-0.10338546071634175,0.4432333047361567,0.45398539729361026,,0.10848925886676877,0.01875098503224877,-0.8087035896513426,-0.960714113244496,-0.02272731498142763,-0.15979758215873022,-0.12651161655911974,-0.007047821853932423,-0.08072291119206464,0.1903991651007661,0.16049570331461147
Bacillus,0.02627617423078544,0.25701917879731534,0.3913129013516899,-0.006837124651326169,0.0026331409243538434,-0.07031716509118267,,-0.23148383262704658,0.2330056736679914,-0.4414928098979595,-0.08153344849756056,-0.08910472814886405,0.18638493090787944,0.24455202671653387,0.013470282481024285
Burkholderia,-0.19279869987959583,-0.31070764895157893,-0.15812106664466674,-0.2678195883358357,-0.4344273515671036,-0.2587792594423756,-0.3684857837375692,,-0.5477781109427748,-0.5348458986962017,-0.4716980347569507,-0.2254474198458368,-0.5759634335629372,-0.41844541011488606,-0.19387959430285734
Variovarax,-0.3688026545198024,0.10634261686372856,0.36103723492156464,-0.40273886352118193,-0.2527254832548865,-0.24402389579608663,-0.48911530497335415,-0.7167479402771509,,-0.5014348886800171,-0.008650404934730732,-0.21935244212033014,-0.2984418410901673,-0.4585941896640613,-0.15132125346995046
Chitinophaga,-0.04921367537118554,0.01959843737129979,0.06715469899723978,-0.20390660595756696,-0.1120327553653063,-0.07801169559376199,-0.3725646559635117,-0.24721111744058882,0.038056569153425646,,0.028160132189474538,-0.16546687597804688,-0.21804597776898582,0.055658148279341894,0.014386269858047666
Niastella,-0.07501809002363624,0.013665430249712824,0.26195767190213104,-0.4122912939971963,-0.4079078324463401,-0.16652650856833168,-0.6535430780106619,-0.12169346276720117,-0.00668740309152409,-0.9680968656733424,,-0.9085182217390787,-0.628331350919847,0.2153501900579514,-0.01701428428031053
Mucilaginibacter,-0.24766973882956658,-0.1643114751860392,-0.042345370204660185,-0.42767418708163785,-0.18170999521525227,-0.09459277725314587,-0.6964731203547151,-0.22322882266487146,-0.18140608263844732,-0.6164783726388977,-0.0374719972742922,,-0.4963046896670067,-0.05939944307444492,-0.05728412942060986
Rhizobium,-0.03656385094988161,-0.16087998214569235,-0.12392395122269897,-0.30105532330350504,-0.13611593048887896,-0.045709769144728296,-0.6512300947480935,-0.21696799044451998,-0.04809928824665003,-0.2111433274803601,-0.012707328709205639,-0.11075403392350723,,-0.03894909732589222,-0.03245457655461976
Bosea,-0.4755731982753889,0.20716745316505172,0.39282810455140044,-0.8363964445200193,-0.33408041741180394,0.32014298102084027,-0.8659843321797066,-0.4509309400087085,-0.5467547021070274,-0.7517484054244196,-0.2201033899511036,-0.43552748865372104,-0.8448875958955878,,0.014605708471442188
Methylobacterium,-0.8857535099174262,-0.8343040548026132,-0.5629788238587767,-0.9573716303912786,-0.7731463439188637,0.22173023465504674,-0.9455967862235585,-0.9806186570891565,-1.0,-0.9961494854233893,-0.8457113522812381,-0.7785996126875663,-0.9876564344351854,-0.9915793395388975,
