,leakage on,leakage off
1319,0.8659690915465248,0.7724948711808093
1320,0.8770869380852597,0.6212688698318651
1321,0.8607896086184132,0.5715345150177392
1323,0.6881639019653089,0.6061461018056253
1324,0.7517669556127521,0.6745192614462049
1325,0.7374312518398616,0.6198195861880497
1327,0.766957730987135,0.6388549478643962
1329,0.9156475147139111,0.8598660970875077
1330,0.9420684747798502,0.9387229373167568
1331,0.575697158011332,0.3579505241873255
1334,0.7383045260602159,0.569998983337542
1337,0.8196443410023075,0.7596966299147927
1338,0.7023511697502463,0.6005226363581772
1336,0.4819325864289225,0.4576596314093407
1538,0.7508065795580627,0.5370106487838577
